Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM DD),Location,Attribute
C,10031,ACCT,427,503,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),R,07:15 pm to 09:15 pm,45,51, to 6,Tara N. Blasor(P),03 08 to 03 08,TBA,N A
C,23832,ACCT,427,504,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),TR,12:45 pm to 02:00 pm,45,45,0,Michelle C. Diaz(P),01 17 to 05 08,WCBA 442,N A
C,21516,ACCT,427,505,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),TR,11:10 am to 12:25 pm,45,50, to 5,Michelle C. Diaz(P),01 17 to 05 08,WCBA 442,N A
C,31659,ACCT,430,500,CS,3,GLOBAL IMMERSION IN ACCOUNTING(Syllabus),N A,TBA,9,9,0,Joan E. Sanders(P),01 17 to 05 08,TBA,Univ Req to Int'l&Cult Div (UICD)
NR,10033,ACCT,445,501,CS,3,INTERNATIONAL ACCT(Syllabus),R,12:45 pm to 02:00 pm,70,67,3,Karen C. Farmer(P),01 01 to 02 09,WCBA 114,BA Int'l Elective group 1 and BA Int'l Elective group 3 and Huma & ICD for COSC group 2 and NonTraditional Format Approved and Univ Req to Int'l&Cult Div (UICD)
C,10034,ACCT,445,502,CS,3,INTERNATIONAL ACCT,R,12:45 pm to 02:00 pm,60,69, to 9,Karen C. Farmer(P),03 26 to 05 04,WCBA 114,BA Int'l Elective group 1 and BA Int'l Elective group 3 and Huma & ICD for COSC group 2 and NonTraditional Format Approved and Univ Req to Int'l&Cult Div (UICD)
C,10035,ACCT,447,501,CS,3,FINANCIAL STMNT ANALYSIS(Syllabus),MW,09:35 am to 10:50 am,16,16,0,Karen Redman(P),01 17 to 05 08,WCBA 462,N A
NR,10036,ACCT,447,502,CS,3,FINANCIAL STMNT ANALYSIS(Syllabus),MW,11:10 am to 12:25 pm,16,15,1,Karen Redman(P),01 17 to 05 08,WCBA 462,N A
NR,10037,ACCT,450,501,CS,3,ACCOUNTING ETHICS(Syllabus),MW,03:00 pm to 04:55 pm,15,9,6,Michael Shaub(P),03 26 to 05 04,WCBA 114,NonTraditional Format Approved
NR,10037,ACCT,450,501,CS,3,ACCOUNTING ETHICS(Syllabus),TR,09:35 am to 10:50 am,15,9,6,Michael Shaub(P),03 26 to 05 04,WCBA 114,N A
C,27390,ACCT,450,502,CS,3,ACCOUNTING ETHICS(Syllabus),MW,08:00 am to 09:55 am,3,4, to 1,Michael J. Head(P),03 26 to 05 04,WCBA 161,NonTraditional Format Approved
C,27390,ACCT,450,502,CS,3,ACCOUNTING ETHICS(Syllabus),TR,09:35 am to 10:50 am,3,4, to 1,Michael J. Head(P),03 26 to 05 04,WCBA 111,N A
